id;identificaciontitular;nombre_titular;apellido_titular;numero_cuenta;tipo_cuenta;codigo_seguridad;fecha_vencimiento
1;redefine;Shirt SDD;communities Refined;Pike Borders;payment Rustic;envisioneer Coordinator;2019-08-05
2;deposit matrices quantify;redefine;Ford;SDD;Gloves Jordan;Uganda Shilling Cotton;2019-08-05
3;New Mexico;port Pants Shirt;Credit Card Account;payment Spur;transmitter Passage SCSI;sky blue Steel;2019-08-05
4;Rustic Granite Bike Program Generic Wooden Bike;Sausages Incredible;Borders;Congolese Franc;Architect Developer;Automotive;2019-08-05
5;Facilitator Minnesota;Borders;open-source Burundi;Music;Metal;lime Chilean Peso Unidades de fomento Officer;2019-08-05
6;Swiss Franc communities XSS;Quality-focused;parsing Identity;Health Polarised transmitting;Rhode Island Music Data;Dynamic Savings Account Branding;2019-08-04
7;Guarani Colorado;deposit Orchestrator;utilisation;recontextualize USB primary;optimal Refined;unleash system engine;2019-08-04
8;solid state program;help-desk SAS embrace;Nigeria;firmware;seamless mesh;disintermediate Jordan Savings Account;2019-08-05
9;eyeballs Movies;Savings Account Pakistan Rupee;connect Berkshire;XSS Suriname;Lead cross-platform;enable;2019-08-05
10;Illinois Kyrgyz Republic;unleash Slovenia;monitor Operations Sports;synergies;deposit Principal Profound;streamline azure Inlet;2019-08-05
